时间,数据
2024-04-10 06:19:38.000,-0.0001329123042523861
2024-04-10 06:19:38.001,-0.00016338354907929897
2024-04-10 06:19:38.002,-0.00017120013944804668
2024-04-10 06:19:38.003,-9.643449448049068E-05
2024-04-10 06:19:38.004,-0.00011643883772194386
2024-04-10 06:19:38.005,-0.000193821731954813
2024-04-10 06:19:38.006,-0.00021405797451734543
2024-04-10 06:19:38.007,-0.00021402863785624504
2024-04-10 06:19:38.008,-0.0002542301081120968
2024-04-10 06:19:38.009,-0.00024065980687737465
2024-04-10 06:19:38.010,-0.00018705707043409348
2024-04-10 06:19:38.011,-0.00017736852169036865
2024-04-10 06:19:38.012,-0.00020610145293176174
2024-04-10 06:19:38.013,-0.000176228117197752
2024-04-10 06:19:38.014,-0.0001115321647375822
2024-04-10 06:19:38.015,-2.8903130441904068E-05
2024-04-10 06:19:38.016,-1.0847114026546478E-05
2024-04-10 06:19:38.017,-4.14201058447361E-05
2024-04-10 06:19:38.018,-4.001380875706673E-05
2024-04-10 06:19:38.019,-2.4570152163505554E-05
2024-04-10 06:19:38.020,-6.263353861868382E-05
2024-04-10 06:19:38.021,-3.746524453163147E-05
2024-04-10 06:19:38.022,4.236912354826927E-05
2024-04-10 06:19:38.023,2.7415109798312187E-05
2024-04-10 06:19:38.024,2.9312213882803917E-05
2024-04-10 06:19:38.025,4.558125510811806E-05
2024-04-10 06:19:38.026,6.753974594175816E-05
2024-04-10 06:19:38.027,3.4958356991410255E-05
2024-04-10 06:19:38.028,4.310114309191704E-05
2024-04-10 06:19:38.029,8.331518620252609E-05
2024-04-10 06:19:38.030,0.00012168474495410919
2024-04-10 06:19:38.031,0.0001621086848899722
2024-04-10 06:19:38.032,0.00022910884581506252
2024-04-10 06:19:38.033,0.0002728926483541727
2024-04-10 06:19:38.034,0.0002863967092707753
2024-04-10 06:19:38.035,0.00029198138508945704
2024-04-10 06:19:38.036,0.0002991351066157222
2024-04-10 06:19:38.037,0.0003465604968369007
2024-04-10 06:19:38.038,0.00040086114313453436
2024-04-10 06:19:38.039,0.0004940620856359601
2024-04-10 06:19:38.040,0.0005379918729886413
2024-04-10 06:19:38.041,0.00047961773816496134
2024-04-10 06:19:38.042,0.0005000089295208454
